UniqueID,_id,active,createdDate,lastLogin,role,signUpSource,state
261,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
262,600987d77d983a11f63cfa92,True,2021-01-21 13:55:35,2021-01-21 13:59:21,consumer,Email,WI
263,600992d17d983a11f63d11ad,True,2021-01-21 14:42:25,Null,consumer,Email,WI
264,600b477e7d983a124e9ae061,True,2021-01-22 21:45:34,Null,consumer,Email,WI
265,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
266,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
267,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
268,600ed4815edb7811cde6b50b,True,2021-01-25 14:24:01,2021-01-25 14:24:02,consumer,Email,WI
269,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
270,600f41b2bd196811e68ea219,True,2021-01-25 22:09:55,2021-01-25 22:16:29,consumer,Email,WI
271,600f20c15edb787dce060911,True,2021-01-25 19:49:21,Null,consumer,Email,WI
272,600f47f06fd0dc1768a34a12,True,2021-01-25 22:36:32,2021-01-25 22:40:13,consumer,Email,WI
273,600ed42e43298911ce45d1fa,True,2021-01-25 14:22:39,2021-01-25 14:29:24,consumer,Email,WI
274,600ed42e43298911ce45d1fa,True,2021-01-25 14:22:39,2021-01-25 14:29:24,consumer,Email,WI
275,600f41b2bd196811e68ea219,True,2021-01-25 22:09:55,2021-01-25 22:16:29,consumer,Email,WI
276,600ed42e43298911ce45d1fa,True,2021-01-25 14:22:39,2021-01-25 14:29:24,consumer,Email,WI
277,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
278,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
279,600eea525edb7811cde6c81c,True,2021-01-25 15:57:07,Null,consumer,Email,WI
280,600f008f4329897eac237bd8,True,2021-01-25 17:31:59,2021-01-25 17:35:51,consumer,Email,WI
281,600ed48a5edb7811cde6b549,True,2021-01-25 14:24:10,2021-01-25 14:24:11,consumer,Email,WI
282,600f47f06fd0dc1768a34a12,True,2021-01-25 22:36:32,2021-01-25 22:40:13,consumer,Email,WI
283,600f47f06fd0dc1768a34a12,True,2021-01-25 22:36:32,2021-01-25 22:40:13,consumer,Email,WI
284,600ed42e43298911ce45d1fa,True,2021-01-25 14:22:39,2021-01-25 14:29:24,consumer,Email,WI
285,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
286,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
287,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
288,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
289,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
290,600fb1ec73c60b1204902af4,True,2021-01-26 06:08:44,2021-01-26 06:08:44,consumer,Email,WI
291,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
292,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
293,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
294,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
295,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
296,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
297,600fb1e4a4b74c120bd18777,True,2021-01-26 06:08:36,2021-01-26 06:08:37,consumer,Email,WI
298,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
299,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
300,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
301,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
302,600fb1ac73c60b12049027bb,True,2021-01-26 06:07:40,2021-01-26 06:11:23,consumer,Email,WI
303,6011f33173c60b1804ce1102,True,2021-01-27 23:11:45,2021-01-27 23:11:46,consumer,Email,WI
304,6011f43ba4b74c18d3a8ca01,True,2021-01-27 23:16:11,2021-01-27 23:16:12,consumer,Email,WI
305,6011f31ea4b74c18d3a8c476,True,2021-01-27 23:11:26,2021-01-27 23:16:11,consumer,Email,WI
306,6011f31ea4b74c18d3a8c476,True,2021-01-27 23:11:26,2021-01-27 23:16:11,consumer,Email,WI
307,6011f31ea4b74c18d3a8c476,True,2021-01-27 23:11:26,2021-01-27 23:16:11,consumer,Email,WI
308,6011f42773c60b1804ce1607,True,2021-01-27 23:15:51,2021-01-27 23:15:52,consumer,Email,WI
309,60118bcfa4b74c18d3a8c0d7,True,2021-01-27 15:50:39,2021-01-27 15:52:41,consumer,Email,WI
310,6010be65a4b74c120bd19edc,True,2021-01-27 01:14:13,2021-01-27 01:14:13,consumer,Email,WI
311,6010bddaa4b74c120bd19dfb,True,2021-01-27 01:11:54,2021-01-27 01:14:25,consumer,Email,WI
312,60118c0fa4b74c18d3a8c151,True,2021-01-27 15:51:43,2021-01-27 15:51:43,consumer,Email,WI
313,6011f33173c60b1804ce1102,True,2021-01-27 23:11:45,2021-01-27 23:11:46,consumer,Email,WI
314,6010bddaa4b74c120bd19dfb,True,2021-01-27 01:11:54,2021-01-27 01:14:25,consumer,Email,WI
315,6011f33173c60b1804ce1102,True,2021-01-27 23:11:45,2021-01-27 23:11:46,consumer,Email,WI
316,60118bcfa4b74c18d3a8c0d7,True,2021-01-27 15:50:39,2021-01-27 15:52:41,consumer,Email,WI
317,6010bddaa4b74c120bd19dfb,True,2021-01-27 01:11:54,2021-01-27 01:14:25,consumer,Email,WI
318,60118bcfa4b74c18d3a8c0d7,True,2021-01-27 15:50:39,2021-01-27 15:52:41,consumer,Email,WI
